Date,Open,High,Low,Close,Volume,Market Cap
1-Sep-17,"4,701.76","4,892.01","4,678.53","4,892.01","2,599,079,936","80,905,039,782"
31-Aug-17,"4,555.59","4,736.05","4,549.40","4,703.39","1,944,930,048","77,775,374,625"
30-Aug-17,"4,570.36","4,626.52","4,471.41","4,565.30","1,937,849,984","75,482,724,984"
29-Aug-17,"4,389.21","4,625.68","4,352.13","4,579.02","2,486,080,000","75,699,786,263"
28-Aug-17,"4,384.45","4,403.93","4,224.64","4,382.66","1,959,330,048","72,445,588,933"
27-Aug-17,"4,345.10","4,416.59","4,317.29","4,382.88","1,537,459,968","72,441,993,792"
26-Aug-17,"4,372.06","4,379.28","4,269.52","4,352.40","1,511,609,984","71,929,882,019"
25-Aug-17,"4,332.82","4,455.70","4,307.35","4,371.60","1,727,970,048","72,241,507,489"
24-Aug-17,"4,137.60","4,376.39","4,130.26","4,334.68","2,037,750,016","71,625,870,868"
23-Aug-17,"4,089.01","4,255.78","4,078.41","4,151.52","2,369,819,904","68,593,954,170"
22-Aug-17,"3,998.35","4,128.76","3,674.58","4,100.52","3,764,239,872","67,743,202,431"
21-Aug-17,"4,090.48","4,109.14","3,988.60","4,001.74","2,800,890,112","66,106,992,038"
20-Aug-17,"4,189.31","4,196.29","4,069.88","4,087.66","2,109,769,984","67,520,478,838"
19-Aug-17,"4,137.75","4,243.26","3,970.55","4,193.70","2,975,820,032","69,265,141,208"
18-Aug-17,"4,324.34","4,370.13","4,015.40","4,160.62","2,941,710,080","68,710,871,037"
17-Aug-17,"4,384.44","4,484.70","4,243.71","4,331.69","2,553,359,872","71,527,949,443"
16-Aug-17,"4,200.34","4,381.23","3,994.42","4,376.63","2,272,039,936","72,260,183,303"
15-Aug-17,"4,326.99","4,455.97","3,906.18","4,181.93","3,258,050,048","69,038,855,081"
14-Aug-17,"4,066.10","4,325.13","3,989.16","4,325.13","2,463,089,920","71,394,704,654"
13-Aug-17,"3,880.04","4,208.39","3,857.80","4,073.26","3,159,089,920","67,230,528,989"
12-Aug-17,"3,650.63","3,949.92","3,613.70","3,884.71","2,219,589,888","64,111,163,866"
11-Aug-17,"3,373.82","3,679.72","3,372.12","3,650.62","2,021,190,016","60,241,844,923"
10-Aug-17,"3,341.84","3,453.45","3,319.47","3,381.28","1,515,110,016","55,791,120,000"
9-Aug-17,"3,420.40","3,422.76","3,247.67","3,342.47","1,468,960,000","55,145,196,472"
8-Aug-17,"3,370.22","3,484.85","3,345.83","3,419.94","1,752,760,064","56,417,337,745"
7-Aug-17,"3,212.78","3,397.68","3,180.89","3,378.94","1,482,279,936","55,734,179,251"
6-Aug-17,"3,257.61","3,293.29","3,155.60","3,213.94","1,105,030,016","53,006,426,108"
5-Aug-17,"2,897.63","3,290.01","2,874.83","3,252.91","1,945,699,968","53,643,452,554"
4-Aug-17,"2,806.93","2,899.33","2,743.72","2,895.89","1,002,120,000","47,749,461,443"
3-Aug-17,"2,709.56","2,813.31","2,685.14","2,804.73","804,796,992","46,239,970,790"
2-Aug-17,"2,727.13","2,762.53","2,668.59","2,710.67","1,094,950,016","44,684,649,516"
1-Aug-17,"2,871.30","2,921.35","2,685.61","2,718.26","1,324,669,952","44,804,603,885"
31-Jul-17,"2,763.24","2,889.62","2,720.61","2,875.34","860,574,976","47,388,334,773"
30-Jul-17,"2,724.39","2,758.53","2,644.85","2,757.18","705,942,976","45,435,913,868"
29-Jul-17,"2,807.02","2,808.76","2,692.80","2,726.45","803,745,984","44,924,534,585"
28-Jul-17,"2,679.73","2,897.45","2,679.73","2,809.01","1,380,099,968","46,279,316,161"
27-Jul-17,"2,538.71","2,693.32","2,529.34","2,671.78","789,104,000","44,013,533,097"
26-Jul-17,"2,577.77","2,610.76","2,450.80","2,529.45","937,404,032","41,663,929,265"
25-Jul-17,"2,757.50","2,768.08","2,480.96","2,576.48","1,460,089,984","42,433,788,244"
24-Jul-17,"2,732.70","2,777.26","2,699.19","2,754.86","866,473,984","45,366,654,309"
23-Jul-17,"2,808.10","2,832.18","2,653.94","2,730.40","1,072,840,000","44,957,775,265"
22-Jul-17,"2,668.63","2,862.42","2,657.71","2,810.12","1,177,129,984","46,264,340,367"
21-Jul-17,"2,838.41","2,838.41","2,621.85","2,667.76","1,489,449,984","43,915,296,559"
20-Jul-17,"2,269.89","2,900.70","2,269.89","2,817.60","2,249,260,032","46,376,428,080"
19-Jul-17,"2,323.08","2,397.17","2,260.23","2,273.43","1,245,100,032","37,415,031,061"
18-Jul-17,"2,233.52","2,387.61","2,164.77","2,318.88","1,512,450,048","38,158,677,672"
17-Jul-17,"1,932.62","2,230.49","1,932.62","2,228.41","1,201,760,000","36,665,393,517"
16-Jul-17,"1,991.98","2,058.77","1,843.03","1,929.82","1,182,870,016","31,748,939,343"
15-Jul-17,"2,230.12","2,231.14","1,990.41","1,998.86","993,608,000","32,880,721,300"
14-Jul-17,"2,360.59","2,363.25","2,183.22","2,233.34","882,502,976","36,734,255,488"
13-Jul-17,"2,402.70","2,425.22","2,340.83","2,357.90","835,769,984","38,778,935,907"
12-Jul-17,"2,332.77","2,423.71","2,275.14","2,398.84","1,117,410,048","39,447,604,438"
11-Jul-17,"2,385.89","2,413.47","2,296.81","2,337.79","1,329,760,000","38,438,497,236"
10-Jul-17,"2,525.25","2,537.16","2,321.13","2,372.56","1,111,200,000","39,005,033,499"
9-Jul-17,"2,572.61","2,635.49","2,517.59","2,518.44","527,856,000","41,397,076,604"
8-Jul-17,"2,520.27","2,571.34","2,492.31","2,571.34","733,329,984","42,262,222,823"
7-Jul-17,"2,608.59","2,916.14","2,498.87","2,518.66","917,411,968","41,391,217,675"
6-Jul-17,"2,608.10","2,616.72","2,581.69","2,608.56","761,956,992","42,863,758,795"
5-Jul-17,"2,602.87","2,622.65","2,538.55","2,601.99","941,566,016","42,751,085,999"
4-Jul-17,"2,561.00","2,631.59","2,559.35","2,601.64","985,516,032","42,740,618,673"
3-Jul-17,"2,498.56","2,595.00","2,480.47","2,564.06","964,112,000","42,118,211,083"
2-Jul-17,"2,436.40","2,514.28","2,394.84","2,506.47","803,747,008","41,167,015,221"
1-Jul-17,"2,492.60","2,515.27","2,419.23","2,434.55","779,913,984","39,980,058,373"
30-Jun-17,"2,539.24","2,559.25","2,478.43","2,480.84","860,273,024","40,735,082,695"
29-Jun-17,"2,567.56","2,588.83","2,510.48","2,539.32","949,979,008","41,690,395,783"
28-Jun-17,"2,553.03","2,603.98","2,484.42","2,574.79","1,183,869,952","42,268,942,193"
27-Jun-17,"2,478.45","2,552.45","2,332.99","2,552.45","1,489,789,952","41,897,190,525"
26-Jun-17,"2,590.57","2,615.25","2,376.29","2,478.45","1,663,280,000","40,677,994,354"
25-Jun-17,"2,607.25","2,682.26","2,552.12","2,589.41","1,161,100,032","42,495,001,716"
24-Jun-17,"2,738.52","2,757.94","2,583.19","2,608.72","982,750,016","42,807,952,581"
23-Jun-17,"2,707.34","2,765.17","2,706.37","2,744.91","961,318,976","45,037,797,053"
22-Jun-17,"2,691.03","2,723.74","2,642.36","2,705.41","1,097,939,968","44,384,244,937"
21-Jun-17,"2,709.43","2,772.01","2,660.40","2,689.10","1,626,579,968","44,111,929,173"
20-Jun-17,"2,591.26","2,763.45","2,589.82","2,721.79","1,854,189,952","44,643,512,689"
19-Jun-17,"2,549.03","2,662.85","2,549.03","2,589.60","1,446,840,064","42,470,734,800"
18-Jun-17,"2,655.35","2,662.10","2,516.33","2,548.29","1,178,659,968","41,788,418,974"
17-Jun-17,"2,514.01","2,685.19","2,484.96","2,655.88","1,534,509,952","43,548,031,452"
16-Jun-17,"2,469.57","2,539.92","2,385.15","2,518.56","1,195,190,016","41,291,821,423"
15-Jun-17,"2,499.58","2,534.71","2,212.96","2,464.58","2,026,259,968","40,402,259,202"
14-Jun-17,"2,716.88","2,786.83","2,412.94","2,506.37","1,696,560,000","41,082,567,339"
13-Jun-17,"2,680.91","2,789.04","2,650.38","2,717.02","1,781,200,000","44,530,631,894"
12-Jun-17,"2,953.22","2,997.26","2,518.56","2,659.63","2,569,530,112","43,585,351,533"
11-Jun-17,"2,942.41","2,996.60","2,840.53","2,958.11","1,752,400,000","48,471,330,146"
10-Jun-17,"2,828.14","2,950.99","2,746.55","2,947.71","2,018,889,984","48,295,501,718"
9-Jun-17,"2,807.44","2,901.71","2,795.62","2,823.81","1,348,950,016","46,260,465,854"
8-Jun-17,"2,720.49","2,815.30","2,670.95","2,805.62","1,281,170,048","45,957,247,989"
7-Jun-17,"2,869.38","2,869.38","2,700.56","2,732.16","1,517,709,952","44,748,237,218"
6-Jun-17,"2,690.84","2,999.91","2,690.84","2,863.20","2,089,609,984","46,888,622,160"
5-Jun-17,"2,512.40","2,686.81","2,510.22","2,686.81","1,369,309,952","43,994,968,834"
4-Jun-17,"2,547.79","2,585.89","2,452.54","2,511.81","1,355,120,000","41,124,262,595"
3-Jun-17,"2,493.72","2,581.91","2,423.57","2,515.35","1,514,950,016","41,177,190,057"
2-Jun-17,"2,404.03","2,488.55","2,373.32","2,488.55","1,317,030,016","40,732,491,835"
1-Jun-17,"2,288.33","2,448.39","2,288.33","2,407.88","1,653,180,032","39,407,633,763"
31-May-17,"2,187.19","2,311.08","2,145.57","2,286.41","1,544,829,952","37,414,813,240"
30-May-17,"2,255.36","2,301.96","2,124.57","2,175.47","1,443,970,048","35,594,903,085"
29-May-17,"2,159.43","2,307.05","2,107.17","2,255.61","994,625,024","36,901,102,917"
28-May-17,"2,054.08","2,267.34","2,054.08","2,155.80","1,147,139,968","35,264,171,110"
27-May-17,"2,196.27","2,260.20","1,855.83","2,038.87","1,700,480,000","33,347,170,525"
26-May-17,"2,320.89","2,573.79","2,071.99","2,202.42","1,763,480,064","36,017,660,894"
25-May-17,"2,446.24","2,763.71","2,285.30","2,304.98","2,406,700,032","37,690,456,715"
24-May-17,"2,321.37","2,523.72","2,321.37","2,443.64","1,725,379,968","39,952,841,999"
23-May-17,"2,191.56","2,320.82","2,178.50","2,320.42","1,378,749,952","37,933,704,066"
22-May-17,"2,043.19","2,303.90","2,017.87","2,173.40","1,942,220,032","35,525,744,380"
21-May-17,"2,067.03","2,119.08","2,037.50","2,041.20","1,147,859,968","33,361,091,114"
20-May-17,"1,984.24","2,084.73","1,974.92","2,084.73","961,336,000","34,068,630,559"
19-May-17,"1,897.37","2,004.52","1,890.25","1,987.71","1,157,289,984","32,479,082,015"
18-May-17,"1,818.70","1,904.48","1,807.12","1,888.65","894,321,024","30,856,574,835"
17-May-17,"1,726.73","1,864.05","1,661.91","1,839.09","1,064,729,984","30,043,626,195"
16-May-17,"1,741.70","1,785.94","1,686.54","1,734.45","959,044,992","28,330,874,003"
15-May-17,"1,808.44","1,812.80","1,708.54","1,738.43","731,529,024","28,392,885,375"
14-May-17,"1,800.86","1,831.42","1,776.62","1,808.91","437,196,000","29,540,290,794"
13-May-17,"1,723.12","1,812.99","1,651.08","1,804.91","579,635,008","29,471,223,857"
12-May-17,"1,845.76","1,856.15","1,694.01","1,724.24","740,984,000","28,150,631,936"
11-May-17,"1,780.37","1,873.93","1,755.35","1,848.57","799,489,984","30,176,934,751"
10-May-17,"1,756.52","1,788.44","1,719.10","1,787.13","915,723,008","29,170,965,564"
9-May-17,"1,723.89","1,833.49","1,716.30","1,755.36","1,167,920,000","28,649,119,972"
8-May-17,"1,596.92","1,723.35","1,596.92","1,723.35","1,340,320,000","28,123,369,330"
7-May-17,"1,579.47","1,596.72","1,559.76","1,596.71","1,080,029,952","26,053,077,975"
6-May-17,"1,556.81","1,578.80","1,542.50","1,578.80","582,529,984","25,757,608,890"
5-May-17,"1,540.87","1,618.03","1,530.31","1,555.45","946,035,968","25,373,374,563"
4-May-17,"1,490.72","1,608.91","1,490.72","1,537.67","933,548,992","25,080,858,487"
3-May-17,"1,453.78","1,492.77","1,447.49","1,490.09","583,795,968","24,301,634,925"
